date,residual
2020-01-05,123514.1886425761
2020-01-12,-84.21577136400447
2020-01-19,15220.760992374897
2020-01-26,3360.4994469676603
2020-02-02,-4222.781856350746
2020-02-09,6272.490139436384
2020-02-16,-2451.2662097901775
2020-02-23,2006.6247522315243
2020-03-01,8186.113671607993
2020-03-08,-1291.4494307708374
2020-03-15,4628.388045372849
2020-03-22,1492.1852814897138
2020-03-29,3752.780292202544
2020-04-05,-5918.990506689079
2020-04-12,-347.95650235709036
2020-04-19,3453.3270933258755
2020-04-26,7821.210720314179
2020-05-03,13095.337789193145
2020-05-10,-2970.3512802973564
2020-05-17,-507.3015018441074
2020-05-24,-6849.411206759425
2020-05-31,-1833.1048354478262
2020-06-07,-6362.191906010921
2020-06-14,-9020.362801321215
2020-06-21,-3034.0367056243995
2020-06-28,-238.39022173921694
2020-07-05,-2526.3106189031823
2020-07-12,-4515.6960945967
2020-07-19,3772.6161459361174
2020-07-26,-5771.66397841461
2020-08-02,-3402.5160268331674
2020-08-09,769.166406181801
2020-08-16,-985.148862707123
2020-08-23,-12799.997965436138
2020-08-30,17.9063368934585
2020-09-06,-9550.610331651653
2020-09-13,-4197.29617350809
2020-09-20,460.1879066713882
2020-09-27,-362.3287333971093
2020-10-04,14934.33636293112
2020-10-11,-2173.991163351995
2020-10-18,-2402.294740647587
2020-10-25,-7303.67062579139
2020-11-01,1436.6639918458095
2020-11-08,521.2997744598251
2020-11-15,-3993.105876522328
2020-11-22,8385.21568727518
2020-11-29,17374.24613298336
2020-12-06,-800.4523360572057
2020-12-13,392.0671964610956
2020-12-20,-1106.8097296459455
2020-12-27,6177.011123597069
2021-01-03,-75040.85359999287
2021-01-10,-54869.84346203742
2021-01-17,-39130.25386527539
2021-01-24,-29532.7512146933
2021-01-31,-19091.035969183547
2021-02-07,5203.427346738405
2021-02-14,-7443.938751316135
2021-02-21,-5324.360948740359
2021-02-28,-9305.850775501603
2021-03-07,-4089.3935864329687
2021-03-14,4549.275935093901
2021-03-21,-1657.3626551148773
2021-03-28,5896.735054464021
2021-04-04,6944.206840442115
2021-04-11,-1063.1491826156853
2021-04-18,-5934.24339991578
2021-04-25,5151.2517610418145
2021-05-02,-15141.680161921628
2021-05-09,7284.52246518404
2021-05-16,-3049.6607055045606
2021-05-23,4370.183763069595
2021-05-30,3955.205252562475
2021-06-06,-1998.6073546443658
2021-06-13,3631.2498847227544
2021-06-20,-5979.02205433097
2021-06-27,-2191.044258109032
2021-07-04,-9010.828695654374
2021-07-11,-7341.457735317119
2021-07-18,-4976.466087330889
2021-07-25,-2486.690006716817
2021-08-01,105.9790424752282
2021-08-08,-193.00518533814466
2021-08-15,9202.608966816158
2021-08-22,7974.982593910769
2021-08-29,-9540.147093225605
2021-09-05,-1479.7950266608677
2021-09-12,-2527.799829629541
2021-09-19,-11394.82208265255
2021-09-26,-71.8823421458801
2021-10-03,-16431.38425373817
2021-10-10,200.33860718499636
2021-10-17,7214.045174471074
2021-10-24,2706.0533550673135
2021-10-31,3328.070158959701
2021-11-07,17733.713928294834
2021-11-14,2513.7512577986054
2021-11-21,2744.2036303345812
2021-11-28,-11661.808888787491
2021-12-05,9562.548803646234
2021-12-12,-5020.327018891316
2021-12-19,6109.989114497905
2021-12-26,2484.152183484519
2022-01-02,-25984.76256121957
2022-01-09,-12511.86458020506
2022-01-16,-1263.0698640056944
2022-01-23,-12095.75158092787
2022-01-30,-612.5508755805204
2022-02-06,-17206.82155267324
2022-02-13,-77.29874256954645
2022-02-20,7403.870677692001
2022-02-27,-7636.149837469944
2022-03-06,9744.073006863502
2022-03-13,-10701.277997066005
2022-03-20,730.8179847401334
2022-03-27,-3406.1444537961506
2022-04-03,-50.63828970998293
2022-04-10,-1537.8327478579304
2022-04-17,7820.55557991672
2022-04-24,-4779.952742041787
2022-05-01,-3716.2281642401067
2022-05-08,-8828.25761115586
2022-05-15,12294.212011646945
2022-05-22,165.5847163752769
2022-05-29,-6395.261569589056
2022-06-05,13102.251813078241
2022-06-12,-6512.476875092922
2022-06-19,-498.87879471914493
2022-06-26,-469.10613039220334
2022-07-03,-2026.3774070425425
2022-07-10,553.374247349595
2022-07-17,-5138.0377731399785
2022-07-24,-586.1171235369984
2022-07-31,-9200.29957349971
2022-08-07,-11368.409994003538
2022-08-14,-11208.922567304253
2022-08-21,1752.6114491298504
2022-08-28,5893.274891918409
2022-09-04,2506.3041942377167
2022-09-11,7483.831930960179
2022-09-18,3684.745806705905
2022-09-25,-1494.805194079352
2022-10-02,-1072.044550909719
2022-10-09,959.3853680168395
2022-10-16,-431.3427594405657
2022-10-23,5446.362710206566
2022-10-30,-5281.942231643217
2022-11-06,-3321.465608250932
2022-11-13,-1111.9776340403769
2022-11-20,-2580.5967108229233
2022-11-27,-55.60415198863484
2022-12-04,-3758.992614471703
2022-12-11,9939.275474209862
2022-12-18,2704.907200592512
2022-12-25,5086.41653933964
2023-01-01,-8148.654583447933
2023-01-08,-1910.7126755063655
2023-01-15,-17425.662643441494
2023-01-22,-1841.4728964293608
2023-01-29,-1161.5896404593368
2023-02-05,-4388.913731202745
2023-02-12,1570.291563002189
2023-02-19,465.340361493174
2023-02-26,8562.546631134697
2023-03-05,-5489.27447319834
2023-03-12,-855.9734960957139
2023-03-19,-8090.79036568437
2023-03-26,-2020.8879306740128
2023-04-02,-510.72430522571085
2023-04-09,4275.883535615139
